"serial_number","treat","mod","Genus","Species","date","cumulative_heat_sum","q50","Tb","T_min","T_max","T_mean"
892915,"NS","modGR_Ex","Betula","pubescens",2023-01-27,0,0,21.0626842989917,7.05000000000007,9.45000000000005,8.25000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-01-28,0,0,21.0626842989917,7.05000000000007,9.45000000000005,8.25000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-01-29,0,0,21.0626842989917,7.05000000000007,9.45000000000005,8.25000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-01-30,0,0,21.0626842989917,7.05000000000007,9.45000000000005,8.25000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-01-31,0,0,21.0626842989917,7.05000000000007,9.45000000000005,8.25000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-01,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-02,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-03,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-04,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-05,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-06,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-07,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-08,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-09,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-10,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-11,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-12,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-13,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-14,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-15,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-16,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-17,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-18,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-19,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-20,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-21,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-22,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-23,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-24,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-25,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-26,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-27,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-02-28,0,0,21.0626842989917,6.45000000000011,9.05000000000001,7.75000000000006
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-01,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-02,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-03,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-04,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-05,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-06,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-07,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-08,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-09,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-10,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-11,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-12,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-13,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-14,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-15,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-16,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-17,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-18,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-19,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-20,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-21,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-22,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-23,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-24,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-25,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-26,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-27,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-28,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-29,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-30,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-03-31,0,0,21.0626842989917,7.05000000000002,10.05,8.55000000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-01,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-02,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-03,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-04,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-05,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-06,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-07,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-08,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-09,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-10,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-11,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-12,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-13,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-14,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-15,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-16,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-17,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-18,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-19,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-20,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-21,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-22,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-23,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-24,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-25,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-26,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-27,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-28,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-29,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-04-30,0,0,21.0626842989917,8.05,12.05,10.05
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-01,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-02,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-03,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-04,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-05,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-06,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-07,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-08,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-09,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-10,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-11,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-12,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-13,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-14,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-15,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-16,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-17,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-18,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-19,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-20,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-21,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-22,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-23,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-24,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-25,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-26,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-27,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-28,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-29,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-30,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-05-31,0,0,21.0626842989917,10.9500000000002,15.55,13.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-01,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-02,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-03,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-04,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-05,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-06,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-07,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-08,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-09,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-10,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-11,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-12,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-13,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-14,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-15,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-16,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-17,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-18,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-19,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-20,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-21,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-22,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-23,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-24,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-25,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-26,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-27,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-28,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-29,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-06-30,0,0,21.0626842989917,13.65,17.65,15.65
892915,"NS","modGR_Ex","Betula","pubescens",2023-07-01,0,0,21.0626842989917,16.4500000000002,20.05,18.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-07-02,0,0,21.0626842989917,16.4500000000002,20.05,18.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-07-03,0,0,21.0626842989917,16.4500000000002,20.05,18.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-07-04,0,0,21.0626842989917,16.4500000000002,20.05,18.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-07-05,0,0,21.0626842989917,16.4500000000002,20.05,18.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-07-06,0,0,21.0626842989917,16.4500000000002,20.05,18.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-07-07,0,0,21.0626842989917,16.4500000000002,20.05,18.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-07-08,0,0,21.0626842989917,16.4500000000002,20.05,18.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-07-09,0,0,21.0626842989917,16.4500000000002,20.05,18.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-07-10,0,0,21.0626842989917,16.4500000000002,20.05,18.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-07-11,0,0,21.0626842989917,16.4500000000002,20.05,18.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-07-12,0,0,21.0626842989917,16.4500000000002,20.05,18.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-07-13,0,0,21.0626842989917,16.4500000000002,20.05,18.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-07-14,0,0,21.0626842989917,16.4500000000002,20.05,18.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-07-15,0,0,21.0626842989917,16.4500000000002,20.05,18.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-07-16,0,0,21.0626842989917,16.4500000000002,20.05,18.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-07-17,0,0,21.0626842989917,16.4500000000002,20.05,18.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-07-18,0,0,21.0626842989917,16.4500000000002,20.05,18.2500000000001
892915,"NS","modGR_Ex","Betula","pubescens",2023-07-19,0,0,21.0626842989917,16.4500000000002,20.05,18.2500000000001
